meeting_id,case_id,CaseNumber,MeetingType,MeetingDate,Result,Vote
7571,20987,4-UP-2001,City Council Hearing,2001-05-01 00:00:00,APPROVED,7-0 
7572,20941,116-SD-1987,Other,2001-02-08 00:00:00,APPROVED, 
7573,20988,5-UP-2001,Planning Commission Hearing,2001-03-28 00:00:00,CONTINUED, 
7574,20988,5-UP-2001,City Council Hearing,2001-06-05 00:00:00,APPROVED,7-0
7575,20990,3-ZN-2001,Planning Commission Hearing,2001-03-28 00:00:00,CONTINUED, 6-0
7576,20990,3-ZN-2001,City Council Hearing,2001-06-05 00:00:00,APPROVED,7-0
7577,20991,138-SD-1988#2,Other,2001-02-08 00:00:00,APPROVED, 
7578,20911,77-SD-1984,Remote Hearing,2001-02-08 00:00:00,APPROVED, 
7579,20994,12-DR-2001,Development Review Hearing,2001-03-08 00:00:00,CONTINUED, 
7580,20996,13-DR-2001,Development Review Hearing,2001-03-08 00:00:00,APPROVED,6-0
7581,20995,6-UP-2001,Planning Commission Hearing,2001-04-25 00:00:00,CONTINUED, 
7582,20995,6-UP-2001,City Council Hearing,2001-07-03 00:00:00,APPROVED,4-3
7583,20997,74-ZN-1992#9,Planning Commission Hearing,2001-03-28 00:00:00,CONTINUED, 
7584,20997,74-ZN-1992#9,City Council Hearing,2001-06-19 00:00:00,APPROVED,6-0
7585,20992,11-DR-2001,Development Review Hearing,2001-03-08 00:00:00,CONTINUED, 
7586,20458,101-DR-2000,Development Review Hearing,2001-03-08 00:00:00,ON HOLD, 
7587,20764,117-DR-2000,Development Review Hearing,2001-02-22 00:00:00,APPROVED, 7-0
7588,20955,19-SA-2001,Other,2001-02-21 00:00:00,DENIED, 
7589,21003,106-DR-1974#3,Development Review Hearing,2001-03-08 00:00:00,APPROVED,6-0
7591,20965,5-SD-2000,Other,2001-02-12 00:00:00,APPROVED, 
7592,21010,4-ZN-2001,Planning Commission Hearing,2001-03-28 00:00:00,APPROVED, 7-0
7593,21010,4-ZN-2001,City Council Hearing,2001-05-01 00:00:00,APPROVED, 7-0
7594,21011,4-BA-2001,Board of Adjustments Hearing,2001-03-07 00:00:00,CONTINUED, 
7595,21013,10-SD-1997,Other,2001-02-12 00:00:00,APPROVED, 
7596,2788,35-ZN-1995#4,Planning Commission Hearing,2000-05-10 00:00:00,CONTINUED, 
7597,2788,35-ZN-1995#4,City Council Hearing,2000-06-06 00:00:00,CONTINUED, 
7599,2788,35-ZN-1995#4,Planning Commission Hearing,2001-04-11 00:00:00,ON HOLD, 
7607,20860,2-UP-2001,Planning Commission Hearing,2001-03-14 00:00:00,APPROVED,6-0
7608,20855,2-ZN-2001,Planning Commission Hearing,2001-03-14 00:00:00,APPROVED,6-0
7609,2794,14-ZN-2000,Planning Commission Hearing,2001-03-14 00:00:00,CONTINUED, 
7610,20928,12-DR-1997#2,Development Review Hearing,2001-03-08 00:00:00,APPROVED,6-0
7611,20832,35-AB-2000,Planning Commission Hearing,2001-02-28 00:00:00,APPROVED, 4-3
7612,20850,37-AB-2000,Planning Commission Hearing,2001-02-28 00:00:00,APPROVED,5-2
7613,20733,33-AB-2000,City Council Hearing,2001-03-20 00:00:00,APPROVED, 
7614,21019,23-SA-2001,Other,2001-02-15 00:00:00,APPROVED, 
7615,20826,1-DR-2001,Development Review Hearing,2001-03-08 00:00:00,APPROVED,6-0
7616,20926,149-DR-1998#2,Development Review Hearing,2001-03-08 00:00:00,APPROVED,6-0
7622,21035,29-SA-2001,Other,2001-02-20 00:00:00,APPROVED, 
7623,21031,26-SA-2001,Other,2001-02-20 00:00:00,APPROVED, 
7624,21048,14-DR-2001,Development Review Hearing,2001-03-22 00:00:00,APPROVED, 7-0
7625,21054,16-DR-2001,Development Review Hearing,2001-03-22 00:00:00,CONTINUED, 
7626,21050,15-DR-2001,Development Review Hearing,2001-03-22 00:00:00,APPROVED, 6-0
7627,21055,17-DR-2001,Development Review Hearing,2001-03-22 00:00:00,CONTINUED, 
7628,20924,6-DR-2001,Development Review Hearing,2001-03-08 00:00:00,CONTINUED, 
7630,21060,34-SA-2001,Other,2001-02-26 00:00:00,APPROVED, 
7631,20754,22-AB-2000,City Council Hearing,2001-03-20 00:00:00,ON HOLD, 
7632,20832,35-AB-2000,City Council Hearing,2001-04-03 00:00:00,WITHDRAWN, 
7634,19617,74-ZN-1992#8,City Council Hearing,2000-01-18 00:00:00,APPROVED,6-0
7635,21063,162-SD-1997#2,Other,2001-02-28 00:00:00,APPROVED, 
7636,20854,40-UP-1982#2,Planning Commission Hearing,2001-03-28 00:00:00,CONTINUED, 
7637,21066,74-SD-1990#3,Other,2001-02-28 00:00:00,DENIED, 
7638,21067,18-DR-2001,Development Review Hearing,2001-03-22 00:00:00,CONTINUED, 
7639,21064,159-DR-1986#6,Development Review Hearing,2001-03-22 00:00:00,APPROVED,7-0
7640,21068,13-SD-2000,Other,,APPROVED, 
7641,21071,139-SA-1998#2,Other,2001-02-28 00:00:00, , 
7642,20955,19-SA-2001,Other,2001-02-26 00:00:00,APPROVED, 
7651,21076,67-DR-1995#3,Development Review Hearing,2001-03-22 00:00:00,CONTINUED, 
7652,21077,19-SD-2000,Other,, , 
7653,21023,24-SA-2001,Other,2001-02-15 00:00:00,APPROVED, 
7654,21034,28-SA-2001,Other,2001-02-20 00:00:00,APPROVED, 
7655,21045,231-SD-1996#7R4,Other,2001-02-21 00:00:00,APPROVED, 
7656,21032,27-SA-2001,Other,2001-02-16 00:00:00,APPROVED, 
7657,21069,138-SD-1978#2,Other,2001-02-26 00:00:00,APPROVED, 
7658,20034,15-ZN-2000,City Council Hearing,2000-08-22 00:00:00,WITHDRAWN, 
7659,21052,217-SD-1983#2R1,Other,2001-02-21 00:00:00,APPROVED, 
7661,2702,7-ZN-2000,City Council Hearing,2000-05-02 00:00:00,APPROVED,4-2
4-2
7663,560,5-UP-2000,City Council Hearing,2000-04-18 00:00:00,APPROVED,6-0
7664,558,3-UP-2000,Planning Commission Hearing,2000-03-15 00:00:00,APPROVED,7-0
7665,20164,12-UP-2000,City Council Hearing,2000-07-11 00:00:00,WITHDRAWN, 
7666,559,4-UP-2000,Planning Commission Hearing,2000-03-29 00:00:00,CONTINUED, 
7667,559,4-UP-2000,Planning Commission Hearing,2000-04-12 00:00:00,CONTINUED, 
7668,559,4-UP-2000,Planning Commission Hearing,2000-05-10 00:00:00,APPROVED,5-0
7669,20980,17-SD-1999#4,Other,2001-02-26 00:00:00,APPROVED, 
7675,21089,87-SD-1994,Other,2001-02-28 00:00:00,APPROVED, 
7676,20805,33-ZN-2000,City Council Hearing,2001-03-20 00:00:00,APPROVED, 6-1
7677,20274,9-TA-2000,City Council Hearing,2001-03-19 00:00:00,ON HOLD, 
7678,20273,8-TA-2000,City Council Hearing,2001-03-19 00:00:00,ON HOLD, 
7680,20828,1-AB-2001,City Council Hearing,2001-04-03 00:00:00,APPROVED, 7-0
7681,20449,10-TA-2000,Planning Commission Hearing,2001-03-28 00:00:00, , 
7682,21115,38-SA-2001,Other,2001-03-01 00:00:00,APPROVED, 
7683,20918,16-SA-2001,Other,2001-01-29 00:00:00,APPROVED, 
7684,3712,23-SA-2000,Other,2001-03-01 00:00:00,APPROVED, 
7685,21119,40-SA-2001,Other,2001-03-01 00:00:00,APPROVED, 
7687,21086,37-SA-2001,Other,2001-03-02 00:00:00,APPROVED, 
7688,20909,3-UP-2001,Planning Commission Hearing,2001-03-28 00:00:00,APPROVED, 7-0
7689,21128,280-SA-2000#2,Other,2001-03-07 00:00:00,DENIED, 
7690,2794,14-ZN-2000,Planning Commission Hearing,2001-04-11 00:00:00,APPROVED, 5-0
7691,757,3-TA-2000,City Council Hearing,2001-04-03 00:00:00, , 
7692,21132,35-SD-2000,Other,2001-03-06 00:00:00,WITHDRAWN, 
7693,21117,39-SA-2001,Other,2001-03-01 00:00:00,APPROVED, 
7694,21075,36-SA-2001,Other,2001-02-26 00:00:00,APPROVED, 
7696,20669,11-TA-2000,Planning Commission Hearing,2001-04-11 00:00:00,APPROVED,5-0 
7697,20669,11-TA-2000,City Council Hearing,2001-05-15 00:00:00,CONTINUED, 
7698,21130,45-SA-2001,Other,2001-03-06 00:00:00,APPROVED, 
7699,21129,44-SA-2001,Other,2001-03-06 00:00:00,APPROVED, 
7700,776,1-BA-1998,Board of Adjustments Hearing,1998-04-08 00:00:00,DENIED,4-0
7701,778,2-BA-1998,Board of Adjustments Hearing,1998-05-06 00:00:00,DENIED,6-0
7702,780,3-BA-1998,Board of Adjustments Hearing,1998-05-06 00:00:00,WITHDRAWN, 
7703,782,4-BA-1998,Board of Adjustments Hearing,1998-06-24 00:00:00,DENIED,5-1
7704,783,5-BA-1998,Board of Adjustments Hearing,,WITHDRAWN, 
7705,784,6-BA-1998,Board of Adjustments Hearing,1998-07-08 00:00:00,DENIED,4-1
7706,785,7-BA-1998,Board of Adjustments Hearing,1998-08-05 00:00:00,APPROVED,5-0
7707,787,9-BA-1998,Board of Adjustments Hearing,1998-09-02 00:00:00,DENIED,4-2
7708,788,10-BA-1998,Board of Adjustments Hearing,1998-09-02 00:00:00,APPROVED,6-0
7709,789,11-BA-1998,Board of Adjustments Hearing,1998-09-02 00:00:00,DENIED,6-0
7710,21139,19-SD-2000#2,Other,2001-03-06 00:00:00,APPROVED, 
7711,21123,43-SA-2001,Other,2001-03-02 00:00:00,APPROVED, 
7712,20924,6-DR-2001,Development Review Hearing,2001-03-22 00:00:00,ON HOLD, 
7720,21066,74-SD-1990#3,Other,2001-03-07 00:00:00,AMENDED, 
7721,21066,74-SD-1990#3,Other,2001-03-07 00:00:00,DENIED, 
7723,21142,5-ZN-2001,Planning Commission Hearing,2001-04-25 00:00:00,APPROVED,7-0 
7724,21142,5-ZN-2001,City Council Hearing,2001-06-05 00:00:00,APPROVED,7-0
7725,21144,13-UP-1999#2,Planning Commission Hearing,2001-04-25 00:00:00,APPROVED, 7-0
7726,21144,13-UP-1999#2,City Council Hearing,2001-06-05 00:00:00,APPROVED,7-0
7727,21109,3-TA-2001,Planning Commission Hearing,2001-04-11 00:00:00,APPROVED,5-0 
7728,21109,3-TA-2001,City Council Hearing,2001-05-15 00:00:00,CONTINUED, 6-0
7729,20994,12-DR-2001,Development Review Hearing,2001-04-05 00:00:00,ON HOLD, 
7730,777,1-BA-1999,Board of Adjustments Hearing,1999-05-10 00:00:00,WITHDRAWN, 
7731,779,2-BA-1999,Board of Adjustments Hearing,1999-05-10 00:00:00,APPROVED,5-0
7732,781,3-BA-1999,Board of Adjustments Hearing,1999-08-04 00:00:00,APPROVED,6-0
7733,790,4-BA-1999,Board of Adjustments Hearing,1999-10-06 00:00:00,APPROVED,5-1
7734,20698,5-BA-1999,Board of Adjustments Hearing,1999-10-06 00:00:00,DENIED,5-1
7735,792,6-BA-1999#2,Board of Adjustments Hearing,1999-11-03 00:00:00,APPROVED,5-0
7736,21150,6-BA-1999#2,Board of Adjustments Hearing,1999-12-08 00:00:00,APPROVED,6-0
7737,20992,11-DR-2001,Development Review Hearing,2001-04-05 00:00:00,APPROVED,6-0
7738,21153,2-PP-2001,Development Review Hearing,2001-04-05 00:00:00,APPROVED,6-0
7740,21157,120-DR-1997#2,Development Review Hearing,2001-04-05 00:00:00,APPROVED, 6-0
7741,21158,20-DR-2001,Development Review Hearing,2001-04-05 00:00:00,APPROVED, 6-0
7742,21159,22-DR-1998#2,Development Review Hearing,2001-04-05 00:00:00,CONTINUED, 
7743,21160,26-DR-1999#3,Development Review Hearing,2001-04-05 00:00:00, , 
7744,21162,21-DR-2001,Development Review Hearing,2001-04-05 00:00:00, , 
7745,21163,4-PP-2001,Development Review Hearing,2001-04-05 00:00:00,APPROVED,5-0
7746,21067,18-DR-2001,Development Review Hearing,2001-04-05 00:00:00,CONTINUED, 6-0
7747,21165,27-DR-2000#R,Development Review Hearing,2001-04-05 00:00:00,DENIED,6-0
7748,21164,30-DR-2000#2,Development Review Hearing,2001-04-05 00:00:00,APPROVED, 6-0
7765,21173,1-LL-2001,City Council Hearing,2001-02-20 00:00:00,APPROVED, 
7750,793,7-BA-1999,Board of Adjustments Hearing,1999-11-03 00:00:00,DENIED,4-2
7751,794,8-BA-1999,Board of Adjustments Hearing,2000-01-05 00:00:00,DENIED,4-1
7752,795,1-BA-2000,Board of Adjustments Hearing,,WITHDRAWN, 
7753,796,2-BA-2000,Board of Adjustments Hearing,,WITHDRAWN, 
7754,814,3-BA-2000,Board of Adjustments Hearing,2000-05-03 00:00:00,WITHDRAWN, 
7755,816,5-BA-2000#2,Board of Adjustments Hearing,2001-03-07 00:00:00,WITHDRAWN, 
7756,815,4-BA-2000#2,Board of Adjustments Hearing,2001-03-07 00:00:00,WITHDRAWN, 
7757,819,8-BA-2000,Board of Adjustments Hearing,2001-03-07 00:00:00,WITHDRAWN, 
7758,20220,6-BA-2000,Board of Adjustments Hearing,,WITHDRAWN, 
7759,20491,12-BA-2000,Board of Adjustments Hearing,2000-12-06 00:00:00,APPROVED,6-1
7760,21169,5-BA-2001#2,Board of Adjustments Hearing,2001-01-10 00:00:00, , 
7761,20844,1-BA-2001,Board of Adjustments Hearing,2001-03-07 00:00:00,CONTINUED, 
7762,20978,2-BA-2001,Board of Adjustments Hearing,2001-03-07 00:00:00,CONTINUED, 
7763,20979,3-BA-2001,Board of Adjustments Hearing,2001-04-04 00:00:00,DENIED, 5-1
7764,21172,52-SD-1993,Other,2001-03-12 00:00:00,APPROVED, 
7766,21176,2-LL-2001,City Council Hearing,2001-02-20 00:00:00,APPROVED, 
7767,21177,3-LL-2001,City Council Hearing,2001-03-06 00:00:00,APPROVED, 
7768,21178,4-LL-2001,City Council Hearing,2001-03-06 00:00:00,WITHDRAWN, 
7670,19655,15-GP-1999,City Council Hearing,2000-03-07 00:00:00,CONTINUED, 
7671,19655,15-GP-1999,City Council Hearing,2000-03-21 00:00:00,CONTINUED, 
7672,19655,15-GP-1999,City Council Hearing,2000-04-04 00:00:00,CONTINUED, 
7673,19655,15-GP-1999,City Council Hearing,2000-04-17 00:00:00,APPROVED,5-0
7674,20336,30-AB-2000,City Council Hearing,2001-02-05 00:00:00, , 
7739,21154,3-PP-2001,Development Review Hearing,2001-04-19 00:00:00,APPROVED,7-0
7777,21179,5-LL-2001,City Council Hearing,2001-03-20 00:00:00,APPROVED, 
7778,21182,6-LL-2001,City Council Hearing,2001-03-20 00:00:00,APPROVED, 
7779,21184,7-LL-2001,City Council Hearing,2001-03-20 00:00:00,APPROVED, 
7780,21183,50-SA-2001,Other,2001-03-21 00:00:00,CONTINUED, 
7781,21180,49-SA-2001,Other,2001-03-21 00:00:00,CONTINUED, 
7782,21185,8-LL-2001,City Council Hearing,2001-03-20 00:00:00,APPROVED, 
7783,21186,9-LL-2001,City Council Hearing,2001-03-20 00:00:00,APPROVED, 
7784,21187,10-LL-2001,City Council Hearing,2001-04-03 00:00:00,APPROVED, 
7785,21188,11-LL-2001,City Council Hearing,2001-04-03 00:00:00,APPROVED, 
7786,21189,12-LL-2001,City Council Hearing,2001-04-03 00:00:00,APPROVED, 
7787,21190,13-LL-2001,City Council Hearing,2001-04-17 00:00:00,APPROVED, 
7788,21192,14-LL-2001,City Council Hearing,2001-04-17 00:00:00,APPROVED, 
7789,21193,15-LL-2001,City Council Hearing,2001-04-17 00:00:00,APPROVED, 
7799,21202,16-LL-2001,City Council Hearing,2001-05-01 00:00:00,DENIED, 
7791,21122,42-SA-2001,Other,2001-03-02 00:00:00,APPROVED, 
7792,21058,32-SA-2001,Other,2001-03-06 00:00:00,APPROVED, 
7793,21175,48-SA-2001,Other,2001-03-12 00:00:00,APPROVED, 
7794,21171,47-SA-2001,Other,2001-03-12 00:00:00,APPROVED, 
7795,21167,46-SA-2001,Other,2001-03-09 00:00:00,APPROVED, 
7796,20775,12-TA-2000,City Council Hearing,2001-04-03 00:00:00,APPROVED, 6-0
7797,2791,12-ZN-2000,Planning Commission Hearing,2001-05-09 00:00:00,CONTINUED, 
7800,21203,17-LL-2001,City Council Hearing,2001-05-01 00:00:00,APPROVED, 
7801,21204,18-LL-2001,City Council Hearing,2001-05-01 00:00:00,APPROVED, 
7802,21205,19-LL-2001,City Council Hearing,2001-05-01 00:00:00,APPROVED, 
7804,21062,35-SA-2001,Other,2001-03-16 00:00:00,APPROVED, 
7805,21212,54-SA-2001,Other,2001-03-21 00:00:00,DENIED, 
7806,21213,55-SA-2001,Other,2001-03-19 00:00:00,APPROVED, 
7807,21214,89-SD-1993,Other,2001-03-19 00:00:00,APPROVED, 
7808,21066,74-SD-1990#3,Other,2001-03-19 00:00:00,APPROVED, 
7809,21059,33-SA-2001,Other,2001-03-15 00:00:00,APPROVED, 
7810,21120,41-SA-2001,Other,2001-03-19 00:00:00,APPROVED, 
7811,21218,20-LL-2001,City Council Hearing,2001-05-01 00:00:00,APPROVED, 
7812,21219,70-SA-2000#2,Other,2001-03-28 00:00:00,DENIED, 
7813,21128,280-SA-2000#2,Other,2001-03-19 00:00:00,APPROVED, 
7814,21225,57-SA-2001,Other,2001-03-28 00:00:00,DENIED, 
7815,21088,4-SA-1994#2,Other,2001-03-20 00:00:00,APPROVED, 
7816,20854,40-UP-1982#2,Planning Commission Hearing,2001-06-27 00:00:00,WITHDRAWN, 
7823,21147,2-AB-2001,Planning Commission Hearing,2001-04-11 00:00:00,APPROVED, 5-0
7824,21147,2-AB-2001,City Council Hearing,2001-05-15 00:00:00,APPROVED, 7-0
7837,21230,7-UP-1998#2,Planning Commission Hearing,2001-05-09 00:00:00,CONTINUED, 
7838,21230,7-UP-1998#2,City Council Hearing,2001-08-21 00:00:00,APPROVED,5-2
7839,21222,20-SD-2000,Other,2001-03-20 00:00:00,APPROVED, 
7840,21216,56-SA-2001,Other,2001-03-19 00:00:00,APPROVED, 
7841,21198,51-SA-2001,Other,2001-03-19 00:00:00,APPROVED, 
7842,21231,58-SA-2001,Other,2001-03-28 00:00:00, , 
7843,20997,74-ZN-1992#9,Planning Commission Hearing,2001-04-11 00:00:00,CONTINUED, 
7845,21233,84-LL-2000,City Council Hearing,2001-02-06 00:00:00,DENIED, 
7834,21228,4-AB-2001,City Council Hearing,2001-05-15 00:00:00,APPROVED, 4-3
7835,21228,4-AB-2001,Planning Commission Hearing,2001-04-11 00:00:00,APPROVED, 5-0
7846,21234,85-LL-2000,City Council Hearing,2001-02-06 00:00:00,APPROVED, 
7847,21237,21-DR-2001,Development Review Hearing,2001-04-19 00:00:00,CONTINUED, 
7848,21239,5-PP-2001,Development Review Hearing,2001-04-19 00:00:00,CONTINUED, 
7849,20990,3-ZN-2001,Planning Commission Hearing,2001-04-11 00:00:00,APPROVED,4-0 
7850,21240,6-PP-2001,Development Review Hearing,2001-04-19 00:00:00,APPROVED,6-1
7851,21235,86-LL-2000,City Council Hearing,2001-02-06 00:00:00,APPROVED, 
7852,21243,87-LL-2000,City Council Hearing,2001-02-06 00:00:00,APPROVED, 
7853,21244,88-LL-2000,City Council Hearing,2001-02-06 00:00:00,APPROVED, 
7854,21076,67-DR-1995#3,Development Review Hearing,2001-04-19 00:00:00,APPROVED,7-0
7855,21246,80-LL-2000,City Council Hearing,2001-01-23 00:00:00,APPROVED, 
7856,21248,81-LL-2000,City Council Hearing,2001-01-23 00:00:00,APPROVED, 
7857,21054,16-DR-2001,Development Review Hearing,2001-04-19 00:00:00,APPROVED,7-0
7858,21249,82-LL-2000,City Council Hearing,2001-01-23 00:00:00,APPROVED, 
7860,21250,83-LL-2000,City Council Hearing,2001-01-23 00:00:00,APPROVED, 
7861,21055,17-DR-2001,Development Review Hearing,2001-04-19 00:00:00,APPROVED,7-0
7862,21183,50-SA-2001,Other,2001-03-22 00:00:00,APPROVED, 
7864,21255,63-SD-1979,Other,2001-03-28 00:00:00,DENIED, 
7865,21257,54-ZN-1989#2A,City Council Hearing,2001-07-03 00:00:00,APPROVED,7-0
7866,21258,77-LL-2000,City Council Hearing,2001-01-08 00:00:00,APPROVED, 
7867,21260,78-LL-2000,City Council Hearing,2001-01-08 00:00:00,APPROVED, 
7868,21261,79-LL-2000,City Council Hearing,2001-01-08 00:00:00,APPROVED, 
7869,21265,68-LL-2000,City Council Hearing,2000-12-12 00:00:00,APPROVED, 
7870,21267,60-SA-2001,Other,2001-04-03 00:00:00,DENIED, 
7880,21159,22-DR-1998#2,Development Review Hearing,2001-05-03 00:00:00,APPROVED, 6-0
7882,20988,5-UP-2001,Planning Commission Hearing,2001-04-25 00:00:00,APPROVED, 7-0
7884,21272,17-SD-1999#5,Other,2001-04-03 00:00:00,APPROVED, 
7885,21273,12-EXT-2001#1,City Council Hearing,2001-05-15 00:00:00, , 
7886,21274,21-LL-2001,City Council Hearing,2001-05-15 00:00:00,APPROVED, 
7887,21275,22-LL-2001,City Council Hearing,2001-05-15 00:00:00,APPROVED, 
7888,21276,23-LL-2001,City Council Hearing,2001-05-15 00:00:00,APPROVED, 
7891,21283,5-AB-2001,Planning Commission Hearing,2001-04-25 00:00:00,APPROVED, 7-0
7890,20997,74-ZN-1992#9,Planning Commission Hearing,2001-04-25 00:00:00,CONTINUED, 
7798,1871,3-GP-2000,Planning Commission Hearing,2001-05-09 00:00:00,CONTINUED, 
7859,21249,82-LL-2000,Other,, , 
7863,21180,49-SA-2001,Other,,APPROVED, 
7883,20995,6-UP-2001,Planning Commission Hearing,2001-05-09 00:00:00,CONTINUED, 
7892,21284,185-SA-1998#2,Other,2001-04-04 00:00:00,DENIED, 
7893,21291,114-SD-1989#1,Other,2001-04-04 00:00:00, , 
7894,21293,52-SA-2000#2,Other,2000-04-02 00:00:00,APPROVED, 
7895,18453,36-DR-1998,Development Review Hearing,1998-04-09 00:00:00,APPROVED,7-0
7901,21151,94-SD-1998#4,Other,2001-04-03 00:00:00,APPROVED, 
7902,21302,24-LL-2001,City Council Hearing,2001-05-15 00:00:00,APPROVED, 
7903,19192,194-DR-1995#2,Development Review Hearing,, , 
7904,18584,181-DR-1997#2,Development Review Hearing,1999-01-07 00:00:00,ON HOLD, 
7905,21303,25-LL-2001,City Council Hearing,2001-05-15 00:00:00,APPROVED, 
7906,21304,26-LL-2001,City Council Hearing,2001-05-15 00:00:00,APPROVED, 
7910,21270,61-SA-2001#1,Other,2001-03-27 00:00:00,APPROVED, 
7911,21242,2-SD-2001,Other,2001-03-22 00:00:00,APPROVED, 
7912,21314,92-DR-1989#4,Development Review Hearing,1998-06-04 00:00:00,APPROVED,5-0
7913,21285,64-SA-2001#1,Other,2001-04-04 00:00:00,APPROVED, 
7914,21315,20-ZN-1998#2,Planning Commission Hearing,2001-05-23 00:00:00,CONTINUED, 
7916,21316,1-GP-2001,Planning Commission Hearing,2001-05-23 00:00:00,CONTINUED, 
7917,21316,1-GP-2001,City Council Hearing,2001-09-25 00:00:00,CONTINUED, 
7918,21317,7-UP-2001,Planning Commission Hearing,2001-05-23 00:00:00,APPROVED,5:0
7933,21319,30-ZN-2000#2,Planning Commission Hearing,2001-06-13 00:00:00,APPROVED,5-0
7934,21319,30-ZN-2000#2,City Council Hearing,2001-08-21 00:00:00,APPROVED,7-0
7935,21212,54-SA-2001,Other,2001-04-04 00:00:00,DENIED, 
7936,21311,66-SA-2001,Other,2001-04-04 00:00:00,APPROVED, 
7937,21327,4-SD-2000#3,Other,2001-04-05 00:00:00,APPROVED, 
7938,21212,54-SA-2001,Other,2001-04-05 00:00:00,APPROVED, 
7931,21318,30-ZN-2000#2,Planning Commission Hearing,2001-05-23 00:00:00, , 
7932,21318,30-ZN-2000#2,City Council Hearing,2001-08-21 00:00:00, , 
7915,21315,20-ZN-1998#2,City Council Hearing,2001-09-25 00:00:00,CONTINUED, 
7939,21332,70-SA-2001#1,Other,2001-04-11 00:00:00,APPROVED, 
7940,21207,52-SA-2001,Other,2001-04-05 00:00:00,APPROVED, 
7970,21358,1-MP-2001,Development Review Hearing,2001-05-03 00:00:00,APPROVED, 6-0
7942,21334,22-DR-2001,Development Review Hearing,2001-05-03 00:00:00,APPROVED,5-1 (AG) 
7943,21335,57-DR-1996#3,Development Review Hearing,2001-05-03 00:00:00,APPROVED, 5-0 (DO)
7944,21336,7-PP-2001#1,Development Review Hearing,2001-05-03 00:00:00, , 
7945,21337,23-DR-2001,Development Review Hearing,2001-05-03 00:00:00,APPROVED, 6-0
7946,21338,24-DR-2001,Development Review Hearing,2001-05-03 00:00:00,APPROVED, 6-0
7947,21339,20-DR-2000#3,Development Review Hearing,2001-05-03 00:00:00,APPROVED, 6-0
7951,21239,5-PP-2001,Development Review Hearing,2001-05-03 00:00:00,CONTINUED, 
7952,21267,60-SA-2001,Other,2001-04-09 00:00:00,APPROVED, 
7953,21011,4-BA-2001,Board of Adjustments Hearing,2001-04-04 00:00:00,APPROVED,6-0
7954,20978,2-BA-2001,Board of Adjustments Hearing,2001-04-04 00:00:00,APPROVED,4-2
7955,14208,106-DR-1974#2,Development Review Hearing,1999-05-20 00:00:00,APPROVED,6-0
7965,21352,26-DR-2001,Development Review Hearing,2001-05-03 00:00:00,APPROVED, 6-0
7968,21356,149-DR-1998#2R,Development Review Hearing,2001-05-03 00:00:00,APPROVED, 6-0
7969,20351,6-MS-2000,Development Review Hearing,2001-05-17 00:00:00,APPROVED,6-0
7971,21237,21-DR-2001,Development Review Hearing,2001-05-03 00:00:00,APPROVED, 6-0
16072,19695,51-DR-1999,Development Review Hearing,1999-07-08 00:00:00,CONTINUED, 
7973,21360,231-DR-1996#5R,Development Review Hearing,1999-09-09 00:00:00,APPROVED,7-0
7974,751,5-MS-1999,Development Review Hearing,1999-10-07 00:00:00,APPROVED, 
7975,20684,79-DR-1999#2,Development Review Hearing,1999-10-21 00:00:00,APPROVED,5-2
7976,19772,92-DR-1999,Development Review Hearing,1999-11-18 00:00:00,APPROVED,4-1
7980,21363,141-DR-1997#3,Development Review Hearing,1999-07-22 00:00:00,APPROVED,7-0
7981,21365,32-DR-1999#2R,Development Review Hearing,1999-09-23 00:00:00,APPROVED,5-2
7983,21355,3-SD-2001,Other,2001-04-10 00:00:00,APPROVED, 
7985,21367,72-SA-2001,Other,2001-04-10 00:00:00,APPROVED, 
7987,21320,67-SD-2000,Other,2001-04-09 00:00:00,APPROVED, 
7949,21343,71-SA-2001,Other,2001-04-11 00:00:00,DENIED, 
7950,21344,25-DR-2001,Development Review Hearing,2001-05-03 00:00:00,APPROVED, 6-0
7979,745,2-MS-1999,Development Review Hearing,1999-06-17 00:00:00,APPROVED,6-0
7984,21280,62-SA-2001,Other,2001-04-11 00:00:00,APPROVED, 
7986,21351,62-SD-2000,Other,2001-04-09 00:00:00,APPROVED, 
7988,21325,69-SA-2001,Other,2001-04-06 00:00:00,APPROVED, 
7999,21384,117-SD-1993#5,Other,2001-04-18 00:00:00,DENIED, 
8000,21385,62-SD-1998#1,Other,2001-04-18 00:00:00,DENIED, 
8001,21386,112-DR-2000#2,Development Review Hearing,2001-06-21 00:00:00,APPROVED,6-0
8012,21390,5-TA-2001,Planning Commission Hearing,2001-10-10 00:00:00,CONTINUED, 
8014,21393,30-LL-2001,City Council Hearing,2001-06-05 00:00:00,APPROVED, 
8015,21394,31-LL-2001,City Council Hearing,2001-06-05 00:00:00,APPROVED, 
8016,21395,75-SA-2001#1,Other,2001-04-18 00:00:00,APPROVED, 
8017,21396,27-DR-2001,Development Review Hearing,2001-05-17 00:00:00,CONTINUED,6-0 
8018,21397,28-DR-2001,Development Review Hearing,2001-05-17 00:00:00,APPROVED,6-0
8019,19888,2-GP-2000,City Council Hearing,2000-04-18 00:00:00,APPROVED,6-0
8020,19888,2-GP-2000,Planning Commission Hearing,2000-03-29 00:00:00,APPROVED,6-0
8021,21398,9-DR-1999#2,Development Review Hearing,2001-05-17 00:00:00, , 
8022,21400,29-DR-2001,Development Review Hearing,2001-05-17 00:00:00, , 
